Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
12,bull,1376.05,10.0805,34.02,32.45,36.85,9.21,46.06,11.55,4.82,16.37,1378.81,-0.0,13899.16,0.03,13482.18,33.93,19.95,13496.16,161953.94,0.0216,0.3554,0.0247,-0.02,-0.01,0.0041
13,bull,1378.81,10.1216,44.09,34.02,38.32,9.58,47.9,12.08,4.95,17.03,1381.96,0.0,13987.66,0.03,13568.03,34.11,20.06,13582.08,162984.94,0.0224,0.3555,0.032,-0.02,-0.01,0.0069
14,bull,1381.96,10.1628,55.1,44.09,39.77,9.94,49.71,12.39,5.13,17.52,1393.86,0.0,14165.58,0.03,13740.62,34.29,20.16,13754.74,165056.94,0.0233,0.3524,0.0399,-0.02,-0.01,0.0069
15,bull,1393.86,10.2042,57.33,55.1,41.21,10.3,51.51,12.74,5.31,18.05,1415.51,0.0,14444.15,0.03,14010.82,34.7,20.41,14025.12,168301.45,0.024,0.3505,0.0411,-0.02,-0.01,0.0069
16,bull,1415.51,10.2458,49.21,57.33,42.32,10.58,52.9,13.11,5.51,18.62,1438.55,0.0,14739.1,0.03,14296.93,35.38,20.8,14311.5,171738.04,0.0242,0.3519,0.0348,-0.02,-0.01,0.0069
17,bull,1438.55,10.2876,39.69,49.21,42.78,10.69,53.47,13.46,5.67,19.13,1453.42,-0.0,14952.13,0.03,14503.57,36.11,21.24,14518.45,174221.36,0.0239,0.3578,0.0276,-0.02,-0.01,0.0069
18,bull,1453.42,10.3295,38.02,39.69,42.36,10.59,52.95,13.74,5.78,19.52,1459.68,0.0,15077.71,0.03,14625.38,36.67,21.56,14640.48,175685.8,0.023,0.3687,0.0262,-0.02,-0.01,0.0069
19,bull,1459.68,10.3715,43.66,38.02,41.34,10.33,51.67,13.91,5.78,19.69,1465.72,0.0,15201.82,0.03,14745.76,37.02,21.77,14761.01,177132.15,0.0219,0.3811,0.0299,-0.02,-0.01,0.0069
20,bull,1465.72,10.4138,48.35,43.66,40.32,10.08,50.4,13.94,5.71,19.64,1478.63,-0.0,15398.16,0.03,14936.22,37.36,21.97,14951.61,179419.3,0.021,0.3898,0.033,-0.02,-0.01,0.0069
21,bull,1478.63,10.4562,45.98,48.35,39.83,9.96,49.78,13.89,5.6,19.49,1496.68,0.0,15649.67,0.03,15180.18,37.86,22.26,15195.78,182349.31,0.0205,0.3915,0.0311,-0.02,-0.01,0.0069
22,bull,1496.68,10.4988,38.15,45.98,40.02,10.01,50.03,13.84,5.52,19.36,1511.99,0.0,15874.17,0.03,15397.95,38.48,22.63,15413.8,184965.61,0.0205,0.387,0.0255,-0.02,-0.01,0.0069
23,bull,1511.99,10.5416,31.77,38.15,40.79,10.2,50.99,13.86,5.5,19.37,1518.52,0.0,16007.62,0.03,15527.4,39.01,22.94,15543.47,186521.64,0.0209,0.3798,0.021,-0.02,-0.01,0.0069
24,bull,1518.52,10.5846,33.28,31.77,41.91,10.48,52.39,13.97,5.56,19.53,1517.43,-0.0,16061.31,0.03,15579.47,39.31,23.12,15595.67,187148.06,0.0216,0.3727,0.0219,-0.02,-0.01,0.0069
