Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
11,failed_price,162.05,1022.89,2073713.23,1.06,1.05,1.08,13289.47,1.35,0.24,1.59,19505.47,0.24,2919.51,160.47,2054207.75,30340.63,18257.8,0.0,161.79,2082499.56,173541.63,0.9902,0.0022,0.9978,12274.72,18412.07,13289.47,0.7804,16819.43,18209.89,21.07,0.7313,0.0065,0.0
12,failed_price,161.79,1025.0,2082499.56,2.69,1.05,1.05,12908.0,1.38,0.24,1.62,19915.64,0.24,2992.28,160.17,2062583.93,30926.38,18332.25,0.0,161.46,2091078.34,174256.53,0.99,0.0021,0.9979,12300.0,18450.0,12908.0,0.7805,16854.07,17687.19,21.07,0.7299,0.0068,0.0
13,failed_price,161.46,1027.11,2091078.34,1.14,1.06,1.05,12913.29,1.41,0.25,1.66,20447.65,0.25,3083.28,159.8,2070630.69,31680.65,18403.77,0.0,161.1,2099904.15,174992.01,0.9897,0.002,0.998,12325.34,18488.0,12913.29,0.7805,16888.79,17694.44,21.07,0.7311,0.007,0.0
14,failed_price,161.1,1029.23,2099904.15,1.18,2.69,1.06,13087.13,1.44,0.25,1.7,20974.9,0.25,3126.7,159.4,2078929.24,32443.77,18477.52,0.0,160.71,2109109.32,175759.11,0.9895,0.0018,0.9982,12350.72,18526.09,13087.13,0.7805,16923.58,17932.64,21.07,0.7331,0.0073,0.0
15,failed_price,160.71,1031.35,2109109.32,1.22,1.14,2.69,33323.85,1.47,0.26,1.73,21367.06,0.26,3178.34,158.99,2087742.26,33048.98,18555.85,0.0,161.94,2138737.57,178228.13,0.9893,0.0018,0.9982,12376.16,18564.25,33323.85,0.7807,16958.44,45662.01,21.06,0.8493,0.0076,0.0
16,failed_price,161.94,1033.47,2138737.57,1.23,1.18,1.14,14108.38,1.5,0.26,1.76,21880.02,0.26,3228.43,160.17,2116857.55,33683.44,18814.63,0.0,161.57,2149063.17,179088.6,0.9891,0.0018,0.9982,12401.66,18602.49,14108.38,0.7807,16993.37,19332.01,21.06,0.7387,0.0076,0.0
17,failed_price,161.57,1035.6,2149063.17,1.22,1.22,1.18,14695.87,1.48,0.26,1.75,21687.78,0.26,3285.79,159.82,2127375.39,33676.37,18908.11,0.0,161.27,2160125.31,180010.44,0.9892,0.0017,0.9983,12427.2,18640.8,14695.87,0.7808,17028.37,20137.02,21.06,0.7426,0.0075,0.0
18,failed_price,161.27,1037.73,2160125.31,2.78,1.23,1.22,15132.86,1.46,0.26,1.71,21342.32,0.27,3308.12,159.56,2138783.0,33377.85,19009.5,0.0,161.04,2171592.32,180966.03,0.9894,0.0017,0.9983,12452.8,18679.2,15132.86,0.7809,17063.45,20735.81,21.06,0.7446,0.0073,0.0
19,failed_price,161.04,1039.87,2171592.32,1.14,1.22,1.23,15340.94,1.42,0.25,1.67,20872.57,0.27,3308.57,159.37,2150719.75,32906.01,19115.6,0.0,160.86,2183159.68,181929.97,0.9896,0.0017,0.9983,12478.45,18717.68,15340.94,0.7809,17098.6,21020.92,21.06,0.7448,0.0071,0.0
20,failed_price,160.86,1042.01,2183159.68,1.09,2.78,1.22,15212.72,1.39,0.24,1.63,20409.57,0.26,3285.29,159.23,2162750.11,32428.28,19222.52,0.0,160.71,2194453.88,182871.16,0.9899,0.0018,0.9982,12504.16,18756.23,15212.72,0.781,17133.82,20845.24,21.05,0.7431,0.0068,0.0
21,failed_price,160.71,1044.16,2194453.88,1.06,1.14,2.78,34868.62,1.36,0.24,1.6,20081.7,0.26,3252.77,159.1,2174372.18,32115.46,19325.82,0.0,162.15,2225283.21,185440.27,0.99,0.0018,0.9982,12529.91,18794.87,34868.62,0.7811,17169.11,47778.72,21.05,0.8497,0.0066,0.0
22,failed_price,162.15,1046.31,2225283.21,1.05,1.09,1.14,14275.63,1.37,0.24,1.62,20304.86,0.26,3221.29,160.53,2204978.35,32386.72,19597.85,0.0,161.92,2235264.13,186272.01,0.99,0.0019,0.9981,12555.72,18833.58,14275.63,0.7812,17204.48,19561.18,21.05,0.735,0.0065,0.0
23,failed_price,161.92,1048.47,2235264.13,1.06,1.06,1.09,13729.52,1.37,0.24,1.62,20348.8,0.26,3218.58,160.31,2214915.33,32714.28,19686.17,0.0,161.65,2244891.55,187074.3,0.99,0.0018,0.9982,12581.58,18872.38,13729.52,0.7812,17239.92,18812.88,21.05,0.7329,0.0065,0.0
24,failed_price,161.65,1050.62,2244891.55,2.69,1.05,1.06,13335.38,1.4,0.25,1.65,20740.23,0.26,3218.54,160.01,2224151.33,33348.93,19768.26,0.0,161.32,2254285.92,187857.16,0.9898,0.0018,0.9982,12607.5,18911.25,13335.38,0.7813,17275.43,18272.81,21.05,0.7315,0.0068,0.0
