Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
11,stress,1057.34,9.7764,14.92,16.08,38.05,9.51,47.56,12.82,5.25,18.08,1043.94,0.0,10205.89,0.08,9389.42,13.87,28.46,9374.83,112497.97,0.0279,0.3801,0.0141,0.18,0.16,0.0017
12,stress,1043.94,9.7925,15.58,14.92,38.45,9.61,48.06,13.1,5.23,18.33,1029.13,0.0,10077.73,0.08,9271.52,13.71,28.13,9257.09,111085.14,0.0285,0.3815,0.0149,0.18,0.16,0.0017
13,stress,1029.13,9.8087,18.04,15.58,39.04,9.76,48.8,13.44,5.25,18.69,1014.61,-0.0,9951.96,0.08,9155.8,13.52,27.75,9141.57,109698.88,0.0293,0.3831,0.0175,0.18,0.16,0.0028
14,stress,1014.61,9.8249,20.66,18.04,39.59,9.9,49.49,13.48,5.31,18.79,1001.94,0.0,9843.98,0.08,9056.46,13.34,27.38,9042.43,108509.12,0.0303,0.3796,0.0204,0.18,0.16,0.0028
15,stress,1001.94,9.8411,21.41,20.66,39.98,10.0,49.98,13.53,5.38,18.9,991.52,0.0,9757.7,0.08,8977.08,13.19,27.06,8963.21,107558.49,0.031,0.3782,0.0214,0.18,0.16,0.0028
16,stress,991.52,9.8574,19.93,21.41,39.99,10.0,49.99,13.58,5.43,19.01,981.96,-0.0,9679.49,0.08,8905.13,13.07,26.81,8891.38,106696.6,0.0312,0.3803,0.0201,0.18,0.16,0.0028
17,stress,981.96,9.8736,17.89,19.93,39.56,9.89,49.45,13.6,5.46,19.06,971.49,-0.0,9592.17,0.08,8824.8,12.97,26.61,8811.15,105733.85,0.0309,0.3854,0.0182,0.18,0.16,0.0028
18,stress,971.49,9.89,17.1,17.89,38.67,9.67,48.34,13.57,5.43,19.0,960.04,0.0,9494.72,0.08,8735.14,12.86,26.39,8721.61,104659.32,0.0302,0.393,0.0176,0.18,0.16,0.0028
19,stress,960.04,9.9063,17.56,17.1,37.52,9.38,46.9,13.46,5.35,18.81,949.05,-0.0,9401.52,0.08,8649.39,12.74,26.15,8635.99,103631.88,0.0293,0.401,0.0183,0.18,0.16,0.0028
20,stress,949.05,9.9226,17.83,17.56,36.39,9.1,45.49,13.29,5.22,18.51,939.62,0.0,9323.54,0.08,8577.66,12.63,25.91,8564.37,102772.48,0.0284,0.4069,0.0188,0.18,0.16,0.0028
21,stress,939.62,9.939,16.92,17.83,35.55,8.89,44.43,13.08,5.08,18.16,931.18,-0.0,9255.01,0.08,8514.61,12.53,25.71,8501.43,102017.15,0.028,0.4087,0.018,0.18,0.16,0.0028
22,stress,931.18,9.9554,15.25,16.92,35.11,8.78,43.88,12.87,4.96,17.83,922.04,0.0,9179.36,0.08,8445.01,12.44,25.52,8431.93,101183.13,0.028,0.4062,0.0164,0.18,0.16,0.0028
23,stress,922.04,9.9719,14.13,15.25,35.05,8.76,43.82,12.69,4.88,17.57,911.04,-0.0,9084.78,0.08,8358.0,12.33,25.3,8345.03,100140.37,0.0285,0.4009,0.0153,0.18,0.16,0.0028
24,stress,911.04,9.9884,14.74,14.13,35.28,8.82,44.1,12.57,4.84,17.41,898.47,0.0,8974.27,0.08,8256.33,12.19,25.02,8243.51,98922.08,0.0293,0.3947,0.0162,0.18,0.16,0.0028
