Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
11,recession,1179.49,9.9519,22.24,24.74,36.71,9.18,45.89,11.96,4.98,16.94,1175.28,0.0,11696.28,0.06,10994.5,21.04,25.97,10989.57,131874.83,0.0245,0.3691,0.0189,0.12,0.04,0.0033
12,recession,1175.28,9.9845,23.32,22.24,37.5,9.38,46.88,12.31,5.01,17.33,1167.97,0.0,11661.58,0.06,10961.88,21.02,25.94,10956.96,131483.47,0.0251,0.3696,0.0198,0.12,0.04,0.0033
13,recession,1167.97,10.0172,28.05,23.32,38.52,9.63,48.15,12.73,5.09,17.82,1160.96,0.0,11629.56,0.06,10931.79,20.94,25.85,10926.88,131122.6,0.026,0.3702,0.024,0.12,0.04,0.0056
14,recession,1160.96,10.05,33.17,28.05,39.49,9.87,49.36,12.91,5.2,18.11,1157.76,-0.0,11635.47,0.06,10937.34,20.86,25.75,10932.45,131189.41,0.0269,0.3668,0.0286,0.12,0.04,0.0056
15,recession,1157.76,10.0829,34.53,33.17,40.34,10.09,50.43,13.1,5.32,18.42,1158.92,0.0,11685.24,0.06,10984.13,20.86,25.74,10979.24,131750.9,0.0277,0.3652,0.0298,0.12,0.04,0.0056
16,recession,1158.92,10.1159,31.37,34.53,40.83,10.21,51.03,13.29,5.44,18.73,1161.14,-0.0,11746.03,0.06,11041.27,20.94,25.85,11036.36,132436.38,0.0279,0.3671,0.0271,0.12,0.04,0.0056
17,recession,1161.14,10.149,27.32,31.37,40.79,10.2,50.98,13.46,5.52,18.99,1160.52,0.0,11778.14,0.06,11071.46,21.06,25.99,11066.52,132798.27,0.0276,0.3725,0.0235,0.12,0.04,0.0056
18,recession,1160.52,10.1823,26.23,27.32,40.15,10.04,50.19,13.57,5.56,19.13,1156.77,0.0,11778.56,0.06,11071.85,21.13,26.08,11066.9,132802.77,0.0268,0.3811,0.0226,0.12,0.04,0.0056
19,recession,1156.77,10.2156,28.0,26.23,39.13,9.78,48.91,13.59,5.52,19.11,1153.19,-0.0,11780.55,0.06,11073.72,21.15,26.11,11068.76,132825.15,0.0258,0.3906,0.0242,0.12,0.04,0.0056
20,recession,1153.19,10.249,29.37,28.0,38.12,9.53,47.65,13.52,5.42,18.94,1152.48,0.0,11811.82,0.06,11103.11,21.18,26.14,11098.15,133177.78,0.0249,0.3975,0.0255,0.12,0.04,0.0056
21,recession,1152.48,10.2826,28.0,29.37,37.47,9.37,46.84,13.4,5.3,18.7,1153.72,0.0,11863.21,0.06,11151.42,21.24,26.22,11146.44,133757.27,0.0244,0.3992,0.0243,0.12,0.04,0.0056
22,recession,1153.72,10.3162,24.62,28.0,37.32,9.33,46.65,13.27,5.21,18.48,1153.54,0.0,11900.2,0.06,11186.19,21.34,26.33,11181.19,134174.26,0.0244,0.396,0.0213,0.12,0.04,0.0056
23,recession,1153.54,10.35,22.14,24.62,37.64,9.41,47.05,13.19,5.16,18.35,1149.46,-0.0,11896.95,0.06,11183.14,21.39,26.4,11178.12,134137.49,0.0249,0.39,0.0192,0.12,0.04,0.0056
24,recession,1149.46,10.3839,23.21,22.14,38.27,9.57,47.84,13.18,5.16,18.34,1142.1,0.0,11859.45,0.06,11147.88,21.37,26.38,11142.87,133714.49,0.0257,0.3833,0.0202,0.12,0.04,0.0056
